gene_id	GO_ids
ostta15g01850	GO:0009507; GO:0015995; GO:0033728
ostta08g04230	GO:0016491
ostta07g02580	GO:0008654; GO:0016020; GO:0016780
ostta03g05590	GO:0008654; GO:0016020; GO:0016780
ostta09g04440	GO:0000062
ostta14g01500	GO:0000062
ostta13g01350	GO:0000062
ostta16g02510	GO:0000062
ostta07g00010	GO:0000062
ostta16g02520	
ostta07g02150	GO:0000062; GO:0006631
ostta10g03450	GO:0003989; GO:0005524; GO:0006633; GO:0046872; GO:2001295
ostta01g03280	GO:0003989; GO:0005524; GO:0005829; GO:0006633; GO:0046872; GO:2001295
ostta10g02720	GO:0000049; GO:0009507; GO:0010277; GO:0043023; GO:0046872; GO:0051537; GO:0072344; GO:1990112; GO:1990116
ostta13g01040	GO:0006629; GO:0016020; GO:0016717
ostta18g01380	GO:0000035; GO:0000036; GO:0005739
ostta05g04750	GO:0006637; GO:0047617
ostta01g02650	GO:0003997; GO:0005504; GO:0005777; GO:0033540; GO:0055088; GO:0071949
ostta12g02310	GO:0003997; GO:0005504; GO:0005777; GO:0033540; GO:0055088; GO:0071949
ostta06g02700	GO:0005680; GO:0007091; GO:0031145; GO:0051301; GO:0060090; GO:0070979
ostta11g00730	GO:0005680; GO:0006511; GO:0007091; GO:0031625; GO:0051301; GO:0070979
ostta06g00360	GO:0005680; GO:0005737; GO:0007091; GO:0016567; GO:0031145; GO:0051301
ostta02g03470	GO:0005680; GO:0031145; GO:0034399; GO:0051301; GO:0070979
ostta06g04290	GO:0005680; GO:0031145; GO:0045842; GO:0051301; GO:0070979
ostta01g01000	GO:0005680; GO:0005737; GO:0016567; GO:0031145; GO:0045842; GO:0051301
ostta08g00420	GO:0005680; GO:0016567; GO:0045842; GO:0051301
ostta07g02520	GO:0005680; GO:0016567; GO:0031145; GO:0045842; GO:0051301
ostta13g01910	GO:0016020
ostta02g03330	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta11g00990	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta06g01120	GO:0009245; GO:0016020; GO:0046872; GO:0103117; GO:2001289
ostta09g01080	GO:0009535; GO:0045259; GO:0046933
ostta07g01350	GO:0016020; GO:0046933
ostta01g00830	GO:0015986; GO:0045259; GO:0046961
ostta02g00340	GO:0004366; GO:0006655; GO:0009570
ostta08g00980	GO:0004736; GO:0005524; GO:0005737; GO:0006094; GO:0016421; GO:0046872
ostta01g00490	GO:0009535
ostta01g04940	GO:0009522; GO:0009523; GO:0009535; GO:0009765; GO:0016168
ostta03g00880	GO:0005811; GO:0016104; GO:0016866
ostta16g00920	GO:0005509; GO:0019722; GO:0019900
ostta06g02340	GO:0003677; GO:0005634; GO:0006508; GO:0008237; GO:0046872
ostta02g03080	GO:0000086; GO:0004725; GO:0005634; GO:0005737; GO:0010971; GO:0051301; GO:0110032
ostta04g04640	GO:0000727; GO:0003682; GO:0003688; GO:0003697; GO:0006270; GO:0031261; GO:1902977
ostta13g02370	GO:0005680; GO:0010997; GO:0031145; GO:0051301; GO:1905786; GO:1990757
ostta07g04270	GO:0004674; GO:0005524; GO:0005634; GO:0007346
ostta04g00110	GO:0000082; GO:0000307; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0010389; GO:0010468; GO:0030332; GO:0051445
ostta15g00670	GO:0000082; GO:0000307; GO:0004693; GO:0005524; GO:0005634; GO:0005737; GO:0007165; GO:0010389; GO:0010468; GO:0030332
ostta01g04270	GO:0000307; GO:0005524; GO:0005634; GO:0008353; GO:0032968; GO:0051707
ostta07g01400	GO:0004693; GO:0005524; GO:0005737; GO:0008353; GO:0045944; GO:0051301; GO:0070985
ostta16g01910	GO:0005524; GO:0016114; GO:0050515
ostta04g03470	GO:0004605; GO:0016020; GO:0016024
ostta11g00770	GO:0005506; GO:0008610; GO:0016020; GO:0016491
ostta08g03440	GO:0000176; GO:0000177; GO:0000467; GO:0016075; GO:0034473; GO:0034475; GO:0034476; GO:0035925; GO:0071028; GO:0071035; GO:0071038
ostta12g01390	GO:0005737; GO:0010277
ostta04g02090	GO:0005524; GO:0009507; GO:0015979; GO:0015995; GO:0016851
ostta05g01030	GO:0005524; GO:0015979; GO:0015995; GO:0016851
ostta01g05690	GO:0005524; GO:0009570; GO:0015979; GO:0015995; GO:0016851
ostta07g01870	GO:0005737; GO:0016301; GO:0016538; GO:0051301
ostta14g01387	GO:0005739; GO:0016020; GO:0032049; GO:0043337
ostta16g00380	GO:0008757; GO:0009820; GO:0032259
ostta09g00880	GO:0010420; GO:0031314; GO:0032259; GO:0061542
ostta01g04250	GO:0008425; GO:0031314; GO:0032259
ostta06g04600	GO:0009507; GO:0016020
ostta04g04690	GO:0016020; GO:0047793
ostta07g00880	GO:0004605; GO:0005789; GO:0016024
ostta02g04070	GO:0005324; GO:0005524; GO:0005778; GO:0006635; GO:0007031; GO:0015910; GO:0016887; GO:0042760; GO:0140359
ostta11g01110	GO:0005324; GO:0005524; GO:0005778; GO:0006635; GO:0007031; GO:0015910; GO:0016887; GO:0042760; GO:0140359
ostta13g02960	GO:0005524; GO:0016020; GO:0016887
ostta01g00950	GO:0007155
ostta01g03260	GO:0005741
ostta03g02270	GO:0006357; GO:0016538
ostta11g01340	GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037
ostta03g03620	GO:0004497; GO:0005506; GO:0016705; GO:0020037
ostta07g02400	GO:0009055; GO:0016020; GO:0016491; GO:0022904
ostta17g01035	GO:0005506; GO:0009055; GO:0009579; GO:0015979; GO:0020037
ostta02g05510	GO:0006629; GO:0016020; GO:0016491
ostta17g01930	GO:0006629; GO:0016020; GO:0016491
ostta12g01890	GO:0006629; GO:0016020
ostta01g00790	GO:0008610; GO:0016020; GO:0016717
ostta12g02740	GO:0006636; GO:0016020; GO:0016717; GO:0020037; GO:0042759; GO:0046872
ostta04g02240	GO:0004143; GO:0005524; GO:0007200; GO:0016020
ostta07g02360	GO:0004143; GO:0005524; GO:0007200; GO:0016020
ostta14g02180	GO:0005975; GO:0009507; GO:0019156
ostta11g02450	GO:0000398; GO:0005634; GO:0008419; GO:0046872
ostta07g02020	GO:0006635; GO:0051750
ostta08g02940	GO:0000978; GO:0000981; GO:0090575
ostta03g00610	GO:0006629; GO:0016020; GO:0016627
ostta08g02590	GO:0004144; GO:0005789; GO:0006071; GO:0019432
ostta16g00910	GO:0004144; GO:0005789; GO:0019432
ostta13g01070	GO:0004144; GO:0005789; GO:0006071; GO:0019432
ostta12g01340	GO:0004144; GO:0005789; GO:0006629
ostta08g04310	GO:0004144; GO:0016020
ostta07g03110	GO:0009707; GO:0019375; GO:0046481
ostta11g01370	GO:0009707; GO:0019375; GO:0046481
ostta10g01190	GO:0000977; GO:0000981; GO:0005634; GO:0005667; GO:0051726
ostta02g02240	GO:0005789; GO:0008117; GO:0016740; GO:0019752; GO:0030149; GO:0030170
ostta05g00930	GO:0005506; GO:0008610; GO:0016020; GO:0016491
ostta04g03270	GO:0030145; GO:0030604; GO:0051484; GO:0070402
ostta02g01730	GO:0008661; GO:0009228; GO:0016114; GO:0019288; GO:0046872; GO:0052865
ostta02g01950	GO:0000978; GO:0000981; GO:0090575
ostta04g04780	GO:0000139; GO:0009306; GO:0016192
ostta03g04210	GO:0005789; GO:0016627; GO:0042761
ostta04g00090	GO:0003729; GO:0003746; GO:0005739; GO:0009507; GO:0070125
ostta02g04990	GO:0003746; GO:0005739; GO:0070125
ostta02g00562	GO:0003743; GO:0005730; GO:0005737; GO:0042256; GO:0042273; GO:0043023
ostta08g00070	GO:0004103; GO:0004305; GO:0005737; GO:0006646
ostta01g00590	GO:0016616
ostta01g01295	GO:0009535
ostta01g02290	GO:0008270
ostta02g00200	GO:0005789; GO:0009922; GO:0019367; GO:0030148; GO:0034625; GO:0034626; GO:0042761
ostta09g02530	GO:0005789; GO:0009922; GO:0019367; GO:0030148; GO:0034625; GO:0034626; GO:0042761
ostta07g03880	GO:0004318; GO:0006633
ostta03g01370	GO:0005739; GO:0006633; GO:0016491
ostta17g00300	GO:0005739; GO:0006633; GO:0016491
ostta04g04220	GO:0006694; GO:0016616
ostta06g00480	
ostta09g03220	GO:0006631; GO:0016020
ostta20g00840	GO:0005506; GO:0008610; GO:0016020; GO:0016491
ostta01g06660	GO:0000036; GO:0009507; GO:0016297
ostta08g02290	GO:0000287; GO:0003677; GO:0005654; GO:0005730; GO:0005739; GO:0006284; GO:0008409; GO:0017108; GO:0043137
ostta03g04020	GO:0005789; GO:0016126; GO:0016129; GO:0046165; GO:0050613; GO:1902652
ostta03g02390	GO:0004161; GO:0004337; GO:0005737; GO:0045337; GO:0046872
ostta02g00900	GO:0005524; GO:0005739; GO:0009570; GO:0030956; GO:0032543; GO:0050567; GO:0070681
ostta06g02220	GO:0005524; GO:0005739; GO:0009570; GO:0016149; GO:0030956; GO:0032543; GO:0050567; GO:0070681
ostta02g00950	GO:0005524; GO:0005739; GO:0009507; GO:0030956; GO:0032543; GO:0050566; GO:0050567; GO:0070681
ostta11g01930	GO:0005524; GO:0005739; GO:0009507; GO:0030956; GO:0032543; GO:0050567; GO:0070681
ostta05g02970	GO:0002949; GO:0005739; GO:0046872; GO:0061711
ostta13g00210	GO:0000408; GO:0002949; GO:0005634; GO:0005737; GO:0046872; GO:0061711
ostta12g01280	GO:0004659; GO:0005737; GO:0008299; GO:0046872
ostta02g02510	GO:0009535; GO:0015979; GO:0015995; GO:0045550; GO:0071949; GO:0102067
ostta03g00820	GO:0004370; GO:0005524; GO:0005739; GO:0006641; GO:0019563; GO:0046167
ostta17g01150	GO:0004366; GO:0005783; GO:0008654; GO:0016020; GO:0019432
ostta04g03170	GO:0004659; GO:0006744; GO:0008299; GO:1990234
ostta17g01400	GO:0004659; GO:0008299; GO:0009507; GO:0010236
ostta09g04190	GO:0004674; GO:0005524; GO:0035556
ostta11g01280	GO:0000287; GO:0005829; GO:0008897; GO:0019878
ostta03g04010	GO:0005737; GO:0006633; GO:0009245; GO:0016020; GO:0019171
ostta03g05480	GO:0004017; GO:0005524; GO:0005634; GO:0005737; GO:0006364; GO:0016887; GO:0042274
ostta05g03730	GO:0005789; GO:0030148; GO:0030497; GO:0042761; GO:0102158
ostta13g02530	GO:0005789; GO:0030148; GO:0030497; GO:0042761; GO:0102158
ostta08g01180	GO:0019288; GO:0046872; GO:0050992; GO:0051539; GO:0051745
ostta09g00960	GO:0005506; GO:0009507; GO:0016114; GO:0019288; GO:0046429; GO:0051539
ostta14g02590	GO:0003860; GO:0006574
