GID	GO	EVIDENCE
ostta01g00590	GO:0006096	ISS
ostta01g01500	GO:0006096	ISS
ostta01g03040	GO:0006096	ISS
ostta01g04230	GO:0006096	ISS
ostta01g05290	GO:0006096	ISS
ostta01g05560	GO:0006096	ISS
ostta02g00840	GO:0006096	ISS
ostta02g02370	GO:0006096	ISS
ostta02g02860	GO:0006096	ISS
ostta02g04360	GO:0006096	ISS
ostta03g00350	GO:0006096	ISS
ostta03g00660	GO:0006096	ISS
ostta03g00730	GO:0006096	ISS
ostta03g01030	GO:0006096	ISS
ostta03g02570	GO:0006096	ISS
ostta04g00380	GO:0006096	ISS
ostta04g00860	GO:0006096	ISS
ostta04g04420	GO:0006096	ISS
ostta04g04830	GO:0006096	ISS
ostta05g02900	GO:0006096	ISS
ostta06g00700	GO:0006096	ISS
ostta06g01990	GO:0006096	ISS
ostta06g02650	GO:0006096	ISS
ostta07g01550	GO:0006096	ISS
ostta08g02470	GO:0006096	ISS
ostta08g02720	GO:0006096	ISS
ostta09g00120	GO:0006096	ISS
ostta09g00160	GO:0006096	ISS
ostta09g03765	GO:0006096	ISS
ostta09g03990	GO:0006096	ISS
ostta10g01470	GO:0006096	ISS
ostta11g02780	GO:0006096	ISS
ostta11g02820	GO:0006096	ISS
ostta14g01010	GO:0006096	ISS
ostta14g01830	GO:0006096	ISS
ostta14g02860	GO:0006096	ISS
ostta15g01350	GO:0006096	ISS
ostta15g02520	GO:0006096	ISS
ostta16g00480	GO:0006096	ISS
ostta16g00550	GO:0006096	ISS
ostta01g05560	GO:0006099	ISS
ostta02g04820	GO:0006099	ISS
ostta03g00180	GO:0006099	ISS
ostta03g01030	GO:0006099	ISS
ostta03g02250	GO:0006099	ISS
ostta03g05920	GO:0006099	ISS
ostta04g01030	GO:0006099	ISS
ostta04g04390	GO:0006099	ISS
ostta04g04830	GO:0006099	ISS
ostta05g01760	GO:0006099	ISS
ostta05g02900	GO:0006099	ISS
ostta06g00150	GO:0006099	ISS
ostta06g02270	GO:0006099	ISS
ostta06g02650	GO:0006099	ISS
ostta06g03120	GO:0006099	ISS
ostta08g00050	GO:0006099	ISS
ostta08g00980	GO:0006099	ISS
ostta08g02280	GO:0006099	ISS
ostta10g01370	GO:0006099	ISS
ostta11g02820	GO:0006099	ISS
ostta14g00080	GO:0006099	ISS
ostta15g00650	GO:0006099	ISS
ostta16g00520	GO:0006099	ISS
ostta17g02090	GO:0006099	ISS
ostta01g03040	GO:0006098	ISS
ostta02g00940	GO:0006098	ISS
ostta03g00350	GO:0006098	ISS
ostta03g00660	GO:0006098	ISS
ostta03g01410	GO:0006098	ISS
ostta04g00380	GO:0006098	ISS
ostta04g04420	GO:0006098	ISS
ostta05g04130	GO:0006098	ISS
ostta05g04590	GO:0006098	ISS
ostta06g01650	GO:0006098	ISS
ostta06g01760	GO:0006098	ISS
ostta06g01990	GO:0006098	ISS
ostta07g04260	GO:0006098	ISS
ostta07g04370	GO:0006098	ISS
ostta09g00160	GO:0006098	ISS
ostta10g01470	GO:0006098	ISS
ostta11g02780	GO:0006098	ISS
ostta14g01010	GO:0006098	ISS
ostta14g01830	GO:0006098	ISS
ostta15g02520	GO:0006098	ISS
ostta16g01690	GO:0006098	ISS
ostta17g01010	GO:0006098	ISS
ostta17g01280	GO:0006098	ISS
ostta01g00590	GO:0009698	ISS
ostta06g01650	GO:0009698	ISS
ostta06g01760	GO:0009698	ISS
ostta08g02720	GO:0009698	ISS
ostta10g03340	GO:0009698	ISS
ostta13g01690	GO:0009698	ISS
ostta13g02030	GO:0009698	ISS
