pathway.id	pathway.description	genes	GO
path:ota00010	Glycolysis / Gluconeogenesis	ostta01g00590,ostta01g01500,ostta01g03040,ostta01g04230,ostta01g05290,ostta01g05560,ostta02g00840,ostta02g02370,ostta02g02860,ostta02g04360,ostta03g00350,ostta03g00660,ostta03g00730,ostta03g01030,ostta03g02570,ostta04g00380,ostta04g00860,ostta04g04420,ostta04g04830,ostta05g02900,ostta06g00700,ostta06g01990,ostta06g02650,ostta07g01550,ostta08g02470,ostta08g02720,ostta09g00120,ostta09g00160,ostta09g03765,ostta09g03990,ostta10g01470,ostta11g02780,ostta11g02820,ostta14g01010,ostta14g01830,ostta14g02860,ostta15g01350,ostta15g02520,ostta16g00480,ostta16g00550	GO:0006096
path:ota00020	Citrate cycle (TCA cycle)	ostta01g05560,ostta02g04820,ostta03g00180,ostta03g01030,ostta03g02250,ostta03g05920,ostta04g01030,ostta04g04390,ostta04g04830,ostta05g01760,ostta05g02900,ostta06g00150,ostta06g02270,ostta06g02650,ostta06g03120,ostta08g00050,ostta08g00980,ostta08g02280,ostta10g01370,ostta11g02820,ostta14g00080,ostta15g00650,ostta16g00520,ostta17g02090	GO:0006099
path:ota00030	Pentose phosphate pathway	ostta01g03040,ostta02g00940,ostta03g00350,ostta03g00660,ostta03g01410,ostta04g00380,ostta04g04420,ostta05g04130,ostta05g04590,ostta06g01650,ostta06g01760,ostta06g01990,ostta07g04260,ostta07g04370,ostta09g00160,ostta10g01470,ostta11g02780,ostta14g01010,ostta14g01830,ostta15g02520,ostta16g01690,ostta17g01010,ostta17g01280	GO:0006098
path:ota00040	Pentose and glucuronate interconversions	ostta01g00590,ostta06g01650,ostta06g01760,ostta08g02720,ostta10g03340,ostta13g01690,ostta13g02030	GO:0009698
path:ota00051	Fructose and mannose metabolism	ostta01g01510,ostta01g03040,ostta02g04540,ostta03g00350,ostta03g00660,ostta04g00380,ostta04g01745,ostta04g04420,ostta07g01230,ostta07g04170,ostta09g00120,ostta09g00160,ostta10g01470,ostta12g01630,ostta14g00540,ostta14g01010,ostta14g01830,ostta20g00100	GO:0061611
path:ota00052	Galactose metabolism	ostta02g00840,ostta04g00380,ostta06g02320,ostta07g03640,ostta08g01570,ostta11g01410,ostta13g02030,ostta14g01830,ostta14g02860,ostta15g02520,ostta20g00830	GO:0006012
path:ota00053	Ascorbate and aldarate metabolism	ostta01g00590,ostta01g03640,ostta01g04230,ostta02g05140,ostta03g03950,ostta04g02660,ostta05g00840,ostta05g02610,ostta05g04730,ostta08g00190,ostta08g02720,ostta09g00500,ostta13g01690,ostta13g02030,ostta18g01060	GO:0019852
path:ota00061	Fatty acid biosynthesis	ostta01g02220,ostta01g03280,ostta01g06660,ostta02g01840,ostta02g04460,ostta03g01370,ostta03g04010,ostta04g03510,ostta05g00250,ostta07g03880,ostta09g03060,ostta10g01690,ostta10g03450,ostta12g01000,ostta15g01470,ostta15g01890,ostta16g00040,ostta17g00300,ostta20g00030	GO:0006633
path:ota00062	Fatty acid elongation	ostta02g00200,ostta03g01370,ostta03g04210,ostta05g03730,ostta09g02530,ostta13g02530,ostta17g00300,ostta17g00650	GO:0030497
path:ota00071	Fatty acid degradation	ostta01g00320,ostta01g02650,ostta01g03020,ostta01g04230,ostta03g04620,ostta05g00250,ostta06g04450,ostta09g03720,ostta12g01000,ostta12g02310,ostta15g01350,ostta16g00040	GO:0009062
