ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0015979	photosynthesis	21/186	39/2435	2.17655154990222e-14	6.46435810320959e-12	4.65094699610685e-12	ostta07g02590/ostta07g02410/ostta12g00420/ostta14g02630/ostta02g03860/ostta14g00150/ostta15g00990/ostta04g01790/ostta05g04560/ostta01g05690/ostta07g02420/ostta05g00800/ostta05g04960/ostta15g02680/ostta16g01620/ostta17g00570/ostta02g02560/ostta07g01740/ostta01g03170/ostta06g03390/ostta15g01230	21
GO:0033014	tetrapyrrole biosynthetic process	15/186	35/2435	8.47023635962013e-09	1.25783009940359e-06	9.04977884738361e-07	ostta05g01070/ostta07g02590/ostta05g01230/ostta01g03390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g03370/ostta01g05690/ostta05g04960/ostta17g00130/ostta15g02680/ostta08g01100/ostta07g01740/ostta02g03880	15
GO:0033013	tetrapyrrole metabolic process	15/186	36/2435	1.35568744139292e-08	1.34213056697899e-06	9.65630002114959e-07	ostta05g01070/ostta07g02590/ostta05g01230/ostta01g03390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g03370/ostta01g05690/ostta05g04960/ostta17g00130/ostta15g02680/ostta08g01100/ostta07g01740/ostta02g03880	15
GO:0006779	porphyrin-containing compound biosynthetic process	11/186	23/2435	2.3254838362944e-07	1.7266717484486e-05	1.2422979441257e-05	ostta05g01070/ostta07g02590/ostta01g03390/ostta03g03160/ostta06g03370/ostta01g05690/ostta05g04960/ostta17g00130/ostta15g02680/ostta08g01100/ostta07g01740	11
GO:0006778	porphyrin-containing compound metabolic process	11/186	24/2435	4.00958719265371e-07	2.3816947924363e-05	1.71357094759727e-05	ostta05g01070/ostta07g02590/ostta01g03390/ostta03g03160/ostta06g03370/ostta01g05690/ostta05g04960/ostta17g00130/ostta15g02680/ostta08g01100/ostta07g01740	11
GO:0019438	aromatic compound biosynthetic process	38/186	236/2435	2.92539224064797e-06	0.000144806915912074	0.000104185021903778	ostta05g01070/ostta07g02590/ostta05g01230/ostta01g03390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g03370/ostta10g01470/ostta11g01620/ostta11g00040/ostta08g02940/ostta04g04420/ostta13g02040/ostta01g05690/ostta05g04960/ostta17g00130/ostta15g02680/ostta10g02850/ostta08g01100/ostta01g03040/ostta04g03490/ostta07g01740/ostta11g02780/ostta10g01190/ostta02g03880/ostta05g01370/ostta15g00150/ostta09g01080/ostta06g00700/ostta02g03440/ostta10g02290/ostta12g00480/ostta06g00150/ostta15g01060/ostta09g02190/ostta02g03030/ostta03g01100	38
GO:0006091	generation of precursor metabolites and energy	12/186	37/2435	9.4268531491715e-06	0.000399967912186277	0.000287767096132604	ostta12g00420/ostta07g03070/ostta14g00150/ostta10g01470/ostta04g04420/ostta03g00870/ostta07g02420/ostta01g03040/ostta11g02780/ostta06g00700/ostta20g00490/ostta06g00150	12
GO:0005975	carbohydrate metabolic process	24/186	124/2435	1.11765756938295e-05	0.000414930372633419	0.000298532219190445	ostta15g02520/ostta07g03070/ostta03g00350/ostta06g02940/ostta10g01470/ostta04g04420/ostta06g01650/ostta03g00870/ostta02g03360/ostta01g03040/ostta10g00500/ostta07g01740/ostta11g02780/ostta04g02740/ostta13g01180/ostta03g05500/ostta01g01560/ostta01g03050/ostta06g01880/ostta06g00700/ostta20g00490/ostta06g00150/ostta11g00180/ostta08g01570	24
GO:0018130	heterocycle biosynthetic process	38/186	253/2435	1.65096830255342e-05	0.00054481953984263	0.000391984287039	ostta05g01070/ostta07g02590/ostta05g01230/ostta01g03390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g03370/ostta10g01470/ostta11g01620/ostta11g00040/ostta08g02940/ostta04g04420/ostta13g02040/ostta01g05690/ostta05g04960/ostta17g00130/ostta15g02680/ostta10g02850/ostta08g01100/ostta01g03040/ostta04g03490/ostta07g01740/ostta11g02780/ostta10g01190/ostta02g03880/ostta05g01370/ostta15g00150/ostta09g01080/ostta06g00700/ostta02g03440/ostta10g02290/ostta12g00480/ostta06g00150/ostta15g01060/ostta09g02190/ostta02g03030/ostta03g01100	38
GO:1901362	organic cyclic compound biosynthetic process	38/186	261/2435	3.46278629403793e-05	0.00102844752932927	0.000739942755462842	ostta05g01070/ostta07g02590/ostta05g01230/ostta01g03390/ostta03g03160/ostta01g02390/ostta20g00080/ostta06g03370/ostta10g01470/ostta11g01620/ostta11g00040/ostta08g02940/ostta04g04420/ostta13g02040/ostta01g05690/ostta05g04960/ostta17g00130/ostta15g02680/ostta10g02850/ostta08g01100/ostta01g03040/ostta04g03490/ostta07g01740/ostta11g02780/ostta10g01190/ostta02g03880/ostta05g01370/ostta15g00150/ostta09g01080/ostta06g00700/ostta02g03440/ostta10g02290/ostta12g00480/ostta06g00150/ostta15g01060/ostta09g02190/ostta02g03030/ostta03g01100	38
