ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006412	translation	60/293	226/2435	2.15371258370693e-10	4.01425875643122e-08	3.81998877913611e-08	ostta01g00485/ostta01g04150/ostta02g03140/ostta02g04560/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02960/ostta03g03015/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g04240/ostta07g00280/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g01890/ostta08g01980/ostta09g04010/ostta11g00780/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta15g00620/ostta15g00930/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01720/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta20g00130/ostta20g00570	60
GO:0043604	amide biosynthetic process	63/293	244/2435	2.48560913710911e-10	4.01425875643122e-08	3.81998877913611e-08	ostta01g00485/ostta01g04150/ostta02g03140/ostta02g04560/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02960/ostta03g03015/ostta03g04670/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g04240/ostta07g00280/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g01890/ostta08g01980/ostta09g01790/ostta09g04010/ostta11g00780/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta15g00620/ostta15g00930/ostta15g01210/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01720/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta20g00130/ostta20g00570	63
GO:0043043	peptide biosynthetic process	60/293	229/2435	3.88764270195702e-10	4.18569530910706e-08	3.98312866305772e-08	ostta01g00485/ostta01g04150/ostta02g03140/ostta02g04560/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02960/ostta03g03015/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g04240/ostta07g00280/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g01890/ostta08g01980/ostta09g04010/ostta11g00780/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta15g00620/ostta15g00930/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01720/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta20g00130/ostta20g00570	60
GO:0006518	peptide metabolic process	60/293	234/2435	1.00811273270773e-09	8.14051031661495e-08	7.74655047238574e-08	ostta01g00485/ostta01g04150/ostta02g03140/ostta02g04560/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02960/ostta03g03015/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g04240/ostta07g00280/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g01890/ostta08g01980/ostta09g04010/ostta11g00780/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta15g00620/ostta15g00930/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01720/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta20g00130/ostta20g00570	60
GO:0043603	amide metabolic process	63/293	254/2435	1.54770670112145e-09	9.99818528924457e-08	9.51432329952555e-08	ostta01g00485/ostta01g04150/ostta02g03140/ostta02g04560/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02960/ostta03g03015/ostta03g04670/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g04240/ostta07g00280/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g01890/ostta08g01980/ostta09g01790/ostta09g04010/ostta11g00780/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta15g00620/ostta15g00930/ostta15g01210/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01720/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta20g00130/ostta20g00570	63
GO:1901566	organonitrogen compound biosynthetic process	86/293	428/2435	7.27323629726518e-08	3.91542554002776e-06	3.72593859438848e-06	ostta01g00485/ostta01g00830/ostta01g04150/ostta01g05700/ostta02g00030/ostta02g00750/ostta02g03140/ostta02g04560/ostta03g00660/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02820/ostta03g02960/ostta03g03015/ostta03g04670/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g03700/ostta04g03960/ostta04g04420/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g01030/ostta05g01070/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g04240/ostta07g00280/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03490/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g00860/ostta08g01890/ostta08g01980/ostta09g01080/ostta09g01790/ostta09g03600/ostta09g04010/ostta10g02850/ostta10g03390/ostta11g00040/ostta11g00780/ostta11g03110/ostta13g00070/ostta13g00100/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta14g01900/ostta14g02970/ostta15g00620/ostta15g00930/ostta15g01210/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01720/ostta16g02560/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta20g00130/ostta20g00570	86
GO:0044271	cellular nitrogen compound biosynthetic process	85/293	465/2435	7.41296386118507e-06	0.000342055332451826	0.000325501571047525	ostta01g00485/ostta01g00830/ostta01g03880/ostta01g04150/ostta02g03140/ostta02g04560/ostta03g00660/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02960/ostta03g03015/ostta03g03120/ostta03g04670/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g03560/ostta04g03960/ostta04g04420/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g01030/ostta05g01070/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01070/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g04240/ostta07g00280/ostta07g00490/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03490/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g00860/ostta08g01890/ostta08g01980/ostta09g01080/ostta09g01790/ostta09g04010/ostta10g02850/ostta10g03390/ostta10g03410/ostta11g00040/ostta11g00780/ostta11g03110/ostta12g01630/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta15g00620/ostta15g00930/ostta15g01210/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01340/ostta16g01450/ostta16g01720/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta20g00130/ostta20g00570	85
GO:0008610	lipid biosynthetic process	19/293	57/2435	1.65941163696653e-05	0.000669987448425238	0.000637563418413458	ostta01g02220/ostta02g01730/ostta03g02390/ostta03g04010/ostta04g03170/ostta04g03270/ostta04g03700/ostta04g04220/ostta05g00100/ostta06g03510/ostta08g02430/ostta09g00960/ostta10g00370/ostta12g02740/ostta13g01040/ostta15g01890/ostta17g01400/ostta17g01950/ostta19g00500	19
GO:0009059	macromolecule biosynthetic process	72/293	395/2435	5.42602111523154e-05	0.00192109334370093	0.0018281220673315	ostta01g00485/ostta01g03880/ostta01g04150/ostta02g00030/ostta02g03140/ostta02g04560/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02960/ostta03g03015/ostta03g03120/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g03560/ostta04g03700/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01070/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g03460/ostta06g04240/ostta07g00280/ostta07g00490/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g01890/ostta08g01980/ostta09g04010/ostta10g02820/ostta10g03410/ostta11g00780/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta15g00620/ostta15g00930/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01340/ostta16g01720/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta19g00500/ostta20g00130/ostta20g00570	72
GO:0034645	cellular macromolecule biosynthetic process	71/293	389/2435	5.94765741083878e-05	0.00192109334370093	0.0018281220673315	ostta01g00485/ostta01g03880/ostta01g04150/ostta02g00030/ostta02g03140/ostta02g04560/ostta03g01170/ostta03g01600/ostta03g02100/ostta03g02960/ostta03g03015/ostta03g03120/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00400/ostta04g01610/ostta04g01860/ostta04g02970/ostta04g03560/ostta04g03700/ostta04g04740/ostta04g04870/ostta05g00490/ostta05g02870/ostta05g03820/ostta06g00460/ostta06g01030/ostta06g01070/ostta06g01150/ostta06g01640/ostta06g01790/ostta06g02460/ostta06g02530/ostta06g03020/ostta06g04240/ostta07g00280/ostta07g00490/ostta07g00910/ostta07g01530/ostta07g01760/ostta07g01880/ostta07g03980/ostta07g04450/ostta07g04530/ostta08g01890/ostta08g01980/ostta09g04010/ostta10g02820/ostta10g03410/ostta11g00780/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01080/ostta14g01850/ostta15g00620/ostta15g00930/ostta15g02200/ostta16g00330/ostta16g00770/ostta16g01340/ostta16g01720/ostta17g00360/ostta17g01270/ostta18g00590/ostta18g00630/ostta19g00500/ostta20g00130/ostta20g00570	71
