ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0006412	translation	94/341	226/2435	1.74389100593287e-27	5.33630647815459e-25	5.12153253321338e-25	ostta01g00485/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g04340/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01970/ostta02g02200/ostta02g02800/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g01020/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g04740/ostta04g04870/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g02550/ostta09g04010/ostta10g02015/ostta11g02500/ostta11g02560/ostta11g03280/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00530/ostta16g00770/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	94
GO:0043043	peptide biosynthetic process	94/341	229/2435	6.04894683081089e-27	9.25488865114067e-25	8.88240087261179e-25	ostta01g00485/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g04340/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01970/ostta02g02200/ostta02g02800/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g01020/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g04740/ostta04g04870/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g02550/ostta09g04010/ostta10g02015/ostta11g02500/ostta11g02560/ostta11g03280/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00530/ostta16g00770/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	94
GO:0006518	peptide metabolic process	94/341	234/2435	4.52305245754529e-26	4.61351350669619e-24	4.42783030054433e-24	ostta01g00485/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g04340/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01970/ostta02g02200/ostta02g02800/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g01020/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g04740/ostta04g04870/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g02550/ostta09g04010/ostta10g02015/ostta11g02500/ostta11g02560/ostta11g03280/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00530/ostta16g00770/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	94
GO:0043604	amide biosynthetic process	96/341	244/2435	7.94780225486875e-26	6.08006872497459e-24	5.835360076601e-24	ostta01g00485/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g04340/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01970/ostta02g02200/ostta02g02800/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g01020/ostta03g01320/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g04740/ostta04g04870/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g02550/ostta09g04010/ostta10g00580/ostta10g02015/ostta11g02500/ostta11g02560/ostta11g03280/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00530/ostta16g00770/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	96
GO:0043603	amide metabolic process	97/341	254/2435	6.50632996464868e-25	3.98187393836499e-23	3.82161275818312e-23	ostta01g00485/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g04340/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01970/ostta02g02200/ostta02g02800/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g01020/ostta03g01320/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g04740/ostta04g04870/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g02550/ostta09g04010/ostta10g00580/ostta10g02015/ostta11g02500/ostta11g02560/ostta11g03280/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g01700/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00530/ostta16g00770/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	97
GO:1901566	organonitrogen compound biosynthetic process	126/341	428/2435	8.66803500114422e-21	4.42069785058355e-19	4.24277502687586e-19	ostta01g00485/ostta01g01230/ostta01g01500/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g03770/ostta01g04340/ostta01g05260/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01690/ostta02g01970/ostta02g02200/ostta02g02800/ostta02g02860/ostta02g03140/ostta02g03640/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g00660/ostta03g01020/ostta03g01320/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g01310/ostta04g01500/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g03960/ostta04g04740/ostta04g04870/ostta04g05030/ostta05g00110/ostta05g01350/ostta05g01460/ostta05g01820/ostta05g01970/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g00520/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g03270/ostta06g04240/ostta07g00280/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01610/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g01930/ostta09g02550/ostta09g03600/ostta09g04010/ostta10g00580/ostta10g02015/ostta10g03390/ostta11g00080/ostta11g00540/ostta11g02500/ostta11g02560/ostta11g03110/ostta11g03280/ostta12g00240/ostta12g01290/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01750/ostta14g01840/ostta14g01850/ostta14g02470/ostta14g02770/ostta14g02970/ostta15g01160/ostta15g01180/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00480/ostta16g00530/ostta16g00770/ostta16g01270/ostta16g02560/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	126
GO:0044271	cellular nitrogen compound biosynthetic process	123/341	465/2435	7.5116550802942e-16	3.28366636367146e-14	3.15150641714599e-14	ostta01g00485/ostta01g01500/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g03770/ostta01g04340/ostta02g00093/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01480/ostta02g01590/ostta02g01970/ostta02g02200/ostta02g02260/ostta02g02800/ostta02g02860/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta02g05450/ostta03g00660/ostta03g01020/ostta03g01320/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00220/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g03960/ostta04g04740/ostta04g04870/ostta04g05010/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g01970/ostta05g02300/ostta05g02870/ostta05g03930/ostta05g04910/ostta06g00460/ostta06g00520/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g00490/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01610/ostta08g01730/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g01930/ostta09g02550/ostta09g04010/ostta10g00580/ostta10g02015/ostta10g03390/ostta11g02500/ostta11g02560/ostta11g03110/ostta11g03280/ostta12g00240/ostta12g01290/ostta12g01630/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g01440/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00480/ostta16g00530/ostta16g00770/ostta16g01270/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	123
GO:0010467	gene expression	114/341	434/2435	2.80246525437393e-14	1.07194295979803e-12	1.0287997446978e-12	ostta01g00485/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g04340/ostta02g00093/ostta02g00250/ostta02g00640/ostta02g00960/ostta02g01010/ostta02g01230/ostta02g01330/ostta02g01390/ostta02g01480/ostta02g01590/ostta02g01970/ostta02g02200/ostta02g02260/ostta02g02800/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g00780/ostta03g01020/ostta03g01600/ostta03g01880/ostta03g02000/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00220/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g04740/ostta04g04870/ostta04g05010/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g00490/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03190/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01730/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03440/ostta08g03610/ostta09g01860/ostta09g02550/ostta09g04010/ostta10g02015/ostta10g03370/ostta11g01810/ostta11g02500/ostta11g02560/ostta11g03280/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g01440/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00530/ostta16g00770/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	114
GO:0034645	cellular macromolecule biosynthetic process	104/341	389/2435	1.86095248291932e-13	6.3272384419257e-12	6.07258178636832e-12	ostta01g00485/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g04340/ostta02g00093/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01480/ostta02g01590/ostta02g01970/ostta02g02200/ostta02g02260/ostta02g02800/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g01020/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00220/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g04740/ostta04g04870/ostta04g05010/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g00490/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01730/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g02550/ostta09g04010/ostta10g02015/ostta10g02820/ostta11g02500/ostta11g02560/ostta11g03280/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g01440/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00530/ostta16g00770/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	104
GO:0009059	macromolecule biosynthetic process	104/341	395/2435	5.70732099830379e-13	1.74644022548096e-11	1.67615006160711e-11	ostta01g00485/ostta01g02400/ostta01g02960/ostta01g03190/ostta01g04340/ostta02g00093/ostta02g00250/ostta02g01010/ostta02g01390/ostta02g01480/ostta02g01590/ostta02g01970/ostta02g02200/ostta02g02260/ostta02g02800/ostta02g03140/ostta02g04120/ostta02g04680/ostta02g04990/ostta03g01020/ostta03g01600/ostta03g02100/ostta03g02770/ostta03g02960/ostta03g03015/ostta03g03240/ostta03g03300/ostta03g04290/ostta03g04510/ostta03g04810/ostta03g05760/ostta04g00090/ostta04g00220/ostta04g01310/ostta04g01610/ostta04g01660/ostta04g01760/ostta04g02970/ostta04g04740/ostta04g04870/ostta04g05010/ostta04g05030/ostta05g00110/ostta05g01460/ostta05g02300/ostta05g02870/ostta05g04910/ostta06g00460/ostta06g01030/ostta06g01530/ostta06g01640/ostta06g01860/ostta06g02530/ostta06g04240/ostta07g00280/ostta07g00490/ostta07g01260/ostta07g01530/ostta07g01760/ostta07g02780/ostta07g03885/ostta07g04180/ostta07g04530/ostta08g00570/ostta08g00580/ostta08g01395/ostta08g01730/ostta08g01750/ostta08g01890/ostta08g02010/ostta08g03240/ostta08g03610/ostta09g01860/ostta09g02550/ostta09g04010/ostta10g02015/ostta10g02820/ostta11g02500/ostta11g02560/ostta11g03280/ostta12g02680/ostta12g02830/ostta12g02920/ostta13g00070/ostta13g01580/ostta14g01060/ostta14g01070/ostta14g01840/ostta14g01850/ostta14g02770/ostta15g01160/ostta15g01180/ostta15g01440/ostta15g02010/ostta15g02200/ostta15g02360/ostta16g00070/ostta16g00330/ostta16g00530/ostta16g00770/ostta17g00820/ostta17g01350/ostta18g00630/ostta20g00130	104
