GID	GO	EVIDENCE
ostta01g00020	GO:0003824	ISS
ostta01g00020	GO:0008152	ISS
ostta01g00020	GO:0005524	ISS
ostta01g00020	GO:0006003	ISS
ostta01g00020	GO:0003873	ISS
ostta01g00020	GO:0006000	ISS
ostta01g00030	GO:0009737	ISS
ostta01g00030	GO:0030244	ISS
ostta01g00040	GO:0006090	ISS
ostta01g00040	GO:0015977	ISS
ostta01g00040	GO:0008152	ISS
ostta01g00040	GO:0015976	ISS
ostta01g00040	GO:0004470	ISS
ostta01g00040	GO:0006108	ISS
ostta01g00040	GO:0016616	ISS
ostta01g00040	GO:0051287	ISS
ostta01g00040	GO:0004473	ISS
ostta01g00040	GO:0004471	ISS
ostta01g00040	GO:0046872	ISS
ostta01g00050	GO:0006814	ISS
ostta01g00050	GO:0006885	ISS
ostta01g00050	GO:0015385	ISS
ostta01g00050	GO:0016021	ISS
ostta01g00050	GO:0015299	ISS
ostta01g00050	GO:0016020	ISS
ostta01g00060	GO:0016787	ISS
ostta01g00060	GO:0008486	ISS
ostta01g00060	GO:0016462	ISS
ostta01g00070	GO:0005249	ISS
ostta01g00070	GO:0006813	ISS
ostta01g00070	GO:0008076	ISS
ostta01g00070	GO:0005216	ISS
ostta01g00070	GO:0006811	ISS
ostta01g00070	GO:0016020	ISS
ostta01g00080	GO:0016020	ISS
ostta01g00090	GO:0006164	ISS
ostta01g00090	GO:0006220	ISS
ostta01g00090	GO:0006749	ISS
ostta01g00090	GO:0008152	ISS
ostta01g00090	GO:0009117	ISS
ostta01g00090	GO:0004748	ISS
ostta01g00090	GO:0005971	ISS
ostta01g00090	GO:0006260	ISS
ostta01g00090	GO:0005515	ISS
ostta01g00090	GO:0005524	ISS
ostta01g00090	GO:0009263	ISS
ostta01g00100	GO:0006401	ISS
ostta01g00100	GO:0004527	ISS
ostta01g00100	GO:0005622	ISS
ostta01g00100	GO:0003676	ISS
ostta01g00100	GO:0004535	ISS
ostta01g00130	GO:0006749	ISS
ostta01g00130	GO:0008152	ISS
ostta01g00130	GO:0004364	ISS
ostta01g00140	GO:0008152	ISS
ostta01g00140	GO:0008967	ISS
ostta01g00140	GO:0001668	ISS
ostta01g00140	GO:0008138	ISS
ostta01g00140	GO:0008330	ISS
ostta01g00140	GO:0008579	ISS
ostta01g00140	GO:0008969	ISS
ostta01g00140	GO:0016312	ISS
ostta01g00140	GO:0017017	ISS
ostta01g00140	GO:0017161	ISS
ostta01g00140	GO:0019175	ISS
ostta01g00140	GO:0019178	ISS
ostta01g00140	GO:0019198	ISS
ostta01g00140	GO:0030351	ISS
ostta01g00140	GO:0030352	ISS
ostta01g00140	GO:0043726	ISS
ostta01g00140	GO:0043812	ISS
ostta01g00140	GO:0043813	ISS
ostta01g00140	GO:0016787	ISS
ostta01g00150	GO:0051213	ISS
ostta01g00190	GO:0006457	ISS
ostta01g00190	GO:0051082	ISS
ostta01g00190	GO:0005524	ISS
ostta01g00190	GO:0016301	ISS
ostta01g00190	GO:0016310	ISS
ostta01g00190	GO:0016887	ISS
ostta01g00190	GO:0140662	ISS
ostta01g00210	GO:0005840	ISS
ostta01g00210	GO:0003735	ISS
ostta01g00210	GO:0005622	ISS
ostta01g00210	GO:0006412	ISS
ostta01g00210	GO:1990904	ISS
ostta01g00240	GO:0003824	ISS
ostta01g00240	GO:0050660	ISS
ostta01g00240	GO:0016491	ISS
ostta01g00240	GO:0071949	ISS
ostta01g00250	GO:0043647	ISS
ostta01g00250	GO:0008152	ISS
ostta01g00250	GO:0048015	ISS
ostta01g00250	GO:0008440	ISS
ostta01g00250	GO:0000823	ISS
ostta01g00250	GO:0005524	ISS
ostta01g00250	GO:0016310	ISS
ostta01g00250	GO:0032958	ISS
ostta01g00250	GO:0047326	ISS
ostta01g00250	GO:0102732	ISS
ostta01g00260	GO:0031072	ISS
ostta01g00270	GO:0006457	ISS
ostta01g00270	GO:0003755	ISS
ostta01g00270	GO:0004600	ISS
ostta01g00270	GO:0030051	ISS
ostta01g00270	GO:0042027	ISS
ostta01g00280	GO:0006508	ISS
ostta01g00280	GO:0008235	ISS
ostta01g00280	GO:0004239	ISS
ostta01g00280	GO:0005737	ISS
ostta01g00280	GO:0046872	ISS
