SeqName	GO IDs
ostta01g00010	
ostta01g00020	F:GO:0003873; F:GO:0005524; P:GO:0006000; P:GO:0006003; P:GO:0046835
ostta01g00030	C:GO:0016020; C:GO:0016021
ostta01g00040	F:GO:0004471; C:GO:0005737; P:GO:0019752; F:GO:0046872; F:GO:0051287; P:GO:0055114
ostta01g00050	P:GO:0006885; F:GO:0015385; C:GO:0016021; P:GO:0035725; P:GO:1902600
ostta01g00060	F:GO:0016787
ostta01g00070	F:GO:0005249; C:GO:0008076; P:GO:0071805
ostta01g00080	C:GO:0016021
ostta01g00090	F:GO:0004748; F:GO:0005524; P:GO:0006260; P:GO:0009202; P:GO:0046686; P:GO:0055114
ostta01g00100	F:GO:0003676; F:GO:0004527; F:GO:0005515; P:GO:0016070; P:GO:0090305
ostta01g00110	
ostta01g00120	F:GO:0016874
ostta01g00130	F:GO:0005515; F:GO:0016740
ostta01g00140	P:GO:0008152; C:GO:0009570; C:GO:0009941; F:GO:0016787
ostta01g00150	F:GO:0051213; P:GO:0055114
ostta01g00160	C:GO:0005737; C:GO:0005794; P:GO:0007030; C:GO:0016020; F:GO:0019899; P:GO:0060348
ostta01g00170	C:GO:0016021
ostta01g00180	
ostta01g00190	F:GO:0005524; P:GO:0006457; P:GO:0006950; F:GO:0016301; P:GO:0016310; F:GO:0051082
ostta01g00200	F:GO:0005515
ostta01g00210	F:GO:0003735; C:GO:0005840; P:GO:0006412
ostta01g00220	
ostta01g00230	
ostta01g00240	F:GO:0016491; P:GO:0055114; F:GO:0071949
ostta01g00250	F:GO:0000823; F:GO:0005524; P:GO:0016310; P:GO:0032958; F:GO:0047326; F:GO:0102732
ostta01g00260	F:GO:0005515
ostta01g00270	P:GO:0000413; F:GO:0003755; C:GO:0009543; C:GO:0009570
ostta01g00280	C:GO:0005737; P:GO:0016485; F:GO:0046872; F:GO:0070006; P:GO:0070084
ostta01g00290	
ostta01g00300	C:GO:0016021
ostta01g00310	C:GO:0005739; F:GO:0008168; F:GO:0016627; P:GO:0032259; F:GO:0050660; P:GO:0055114
ostta01g00320	F:GO:0016627; F:GO:0050660; P:GO:0055114
ostta01g00330	C:GO:0016021; F:GO:0016627; F:GO:0050660; P:GO:0055114
ostta01g00340	
ostta01g00350	C:GO:0016021
ostta01g00360	C:GO:0005829; P:GO:0006508; F:GO:0046872; F:GO:0070006; P:GO:0070084
ostta01g00370	C:GO:0005774; C:GO:0005886; P:GO:0006850; P:GO:0010119; C:GO:0031305; F:GO:0050833
ostta01g00380	F:GO:0005515
ostta01g00390	F:GO:0016874
ostta01g00400	C:GO:0000502; F:GO:0030234; P:GO:0042176; P:GO:0050790
ostta01g00410	P:GO:0006614; F:GO:0008312; C:GO:0048500
ostta01g00420	P:GO:0006614; F:GO:0008312; C:GO:0016021; C:GO:0048500
ostta01g00430	
ostta01g00440	F:GO:0005249; C:GO:0008076; P:GO:0071805
ostta01g00450	C:GO:0016020; C:GO:0016021
ostta01g00460	F:GO:0005515
ostta01g00470	F:GO:0008168; P:GO:0032259
ostta01g00480	F:GO:0003743; P:GO:0006413
ostta01g00490	F:GO:0004812; C:GO:0009579; C:GO:0016021
ostta01g00500	
ostta01g00510	
ostta01g00520	F:GO:0005524; C:GO:0016021; F:GO:0042626; P:GO:0055085
ostta01g00530	
ostta01g00540	C:GO:0016021
ostta01g00550	C:GO:0016020; C:GO:0016021
ostta01g00560	C:GO:0005868; C:GO:0005874; C:GO:0005930; F:GO:0008092; F:GO:0008574; P:GO:0010970; C:GO:0031514; P:GO:0044458; F:GO:0045505; F:GO:0051959; P:GO:2000582
ostta01g00570	P:GO:0009987; P:GO:0042254
ostta01g00580	P:GO:0006855; F:GO:0015238; F:GO:0015297; C:GO:0016021
ostta01g00590	F:GO:0016491; P:GO:0055114
ostta01g00600	F:GO:0016491; P:GO:0055114
ostta01g00610	C:GO:0016020; C:GO:0016021; F:GO:0016787; F:GO:0016788
ostta01g00620	F:GO:0005488; P:GO:0006799; F:GO:0008976; C:GO:0009358; P:GO:0016310
ostta01g00630	F:GO:0005509; F:GO:0005524
ostta01g00640	F:GO:0016787
ostta01g00650	F:GO:0005524; F:GO:0016787
ostta01g00660	
ostta01g00670	C:GO:0005623; P:GO:0006662; F:GO:0015035; P:GO:0045454; F:GO:0051920; P:GO:0055114; P:GO:0098869
ostta01g00680	F:GO:0008318; P:GO:0018342
ostta01g00690	F:GO:0030246
ostta01g00700	C:GO:0005783; F:GO:0016853; P:GO:0045454
ostta01g00720	F:GO:0005524; C:GO:0016021
ostta01g00730	F:GO:0016787
ostta01g00740	F:GO:0005385; C:GO:0016021; P:GO:0071577
ostta01g00750	F:GO:0019781; P:GO:0045116
ostta01g00760	F:GO:0005515; P:GO:0006508; F:GO:0008236; C:GO:0044424
ostta01g00770	C:GO:0016021
ostta01g00780	F:GO:0004497; P:GO:0055114; F:GO:0071949
ostta01g00790	P:GO:0006633; C:GO:0009507; C:GO:0016021; F:GO:0016717; P:GO:0055114
ostta01g00800	F:GO:0016491; P:GO:0055114
ostta01g00810	F:GO:0003924; F:GO:0005525; P:GO:0006614; F:GO:0008312; C:GO:0009570; F:GO:0019904; C:GO:0048500; P:GO:0070208
ostta01g00820	F:GO:0008270; F:GO:0009011; C:GO:0009507; F:GO:0016491; P:GO:0019252; F:GO:0046872; P:GO:0055114
ostta01g00830	F:GO:0000166; C:GO:0009507; C:GO:0009579; F:GO:0015078; P:GO:0015986; C:GO:0016021; C:GO:0045263
ostta01g00840	
ostta01g00850	P:GO:0000272; C:GO:0016020; C:GO:0016021; F:GO:0030246
ostta01g00860	F:GO:0000049; F:GO:0004812; C:GO:0005737; P:GO:0006412
ostta03g04320	F:GO:0005347; C:GO:0005743; C:GO:0005774; P:GO:0006839; P:GO:0009060; C:GO:0009536; F:GO:0015217; P:GO:0015866; P:GO:0015867; C:GO:0016021; P:GO:0055085; P:GO:0080121; F:GO:0080122
ostta01g00880	F:GO:0005515
ostta01g00890	F:GO:0005391; F:GO:0005524; P:GO:0006813; P:GO:0006814; P:GO:0010248; C:GO:0016021; F:GO:0046872
ostta01g00910	F:GO:0008168; P:GO:0032259
ostta01g00920	F:GO:0001055; F:GO:0003677; C:GO:0005665; P:GO:0006366; F:GO:0016491; F:GO:0046872; F:GO:0046983; P:GO:0055114
ostta01g00930	F:GO:0016747
ostta01g00940	F:GO:0004553; P:GO:0005975
ostta01g00950	P:GO:0001503; P:GO:0007155
ostta01g00960	
ostta01g00970	F:GO:0003743; P:GO:0006413
ostta01g00980	F:GO:0004427; F:GO:0009678; C:GO:0016021; P:GO:1902600
ostta01g00990	C:GO:0000445; P:GO:0006397
ostta01g01000	F:GO:0005515; P:GO:0010087; P:GO:0032875; P:GO:0051301
ostta01g01020	P:GO:0000028; F:GO:0003723; F:GO:0003735; C:GO:0022627
ostta01g01030	P:GO:0005975; F:GO:0016868
ostta01g01040	F:GO:0008168; P:GO:0032259
ostta01g01050	C:GO:0005634; P:GO:0006281; C:GO:0030915
ostta01g01060	F:GO:0000166; F:GO:0004386; F:GO:0004672; F:GO:0004674; F:GO:0005524; C:GO:0005622; P:GO:0006468; C:GO:0016020; C:GO:0016021; F:GO:0016301; P:GO:0016310; F:GO:0016787; F:GO:0046872; P:GO:0046907
ostta01g01070	C:GO:0016021
ostta01g01080	F:GO:0003712; P:GO:0006357; C:GO:0016592
ostta01g01090	F:GO:0008168; P:GO:0032259
ostta01g01100	C:GO:0016021
ostta01g01110	F:GO:0004553; C:GO:0016020
ostta01g01120	C:GO:0016020; C:GO:0016021
ostta01g01130	P:GO:0006629; F:GO:0016787
ostta01g01140	P:GO:0000902; F:GO:0003779; C:GO:0005737; C:GO:0005885; P:GO:0034314
ostta01g01150	
ostta01g01160	F:GO:0004109; C:GO:0005737; P:GO:0006779; F:GO:0051536; P:GO:0055114
ostta01g01170	
ostta01g01180	F:GO:0005506; F:GO:0009055; C:GO:0016021; P:GO:0022900
ostta01g01190	C:GO:0031966
ostta01g01200	F:GO:0005506; F:GO:0009055; C:GO:0016021; P:GO:0022900
ostta01g01210	F:GO:0003743; C:GO:0005634; P:GO:0006352; P:GO:0006413
ostta01g01220	F:GO:0004672; P:GO:0006468
ostta01g01230	F:GO:0004106; F:GO:0004664; P:GO:0009094; C:GO:0009570; F:GO:0047769
ostta01g01240	
ostta01g01250	
ostta01g01260	
ostta01g01270	C:GO:0005694; C:GO:0005737; P:GO:0006302; P:GO:0006312; P:GO:0016233; F:GO:0016887; C:GO:0030870; F:GO:0097159; F:GO:1901363
ostta01g01280	
ostta01g01290	C:GO:0009570
ostta01g01300	C:GO:0016021
ostta01g01310	C:GO:0016021
ostta01g01320	F:GO:0005524; F:GO:0016887; P:GO:0080167
ostta01g01330	
ostta01g01340	F:GO:0005245; F:GO:0005515; C:GO:0005891; P:GO:0034765; P:GO:0070588
ostta01g01350	
ostta01g01370	F:GO:0005515
ostta01g01380	F:GO:0008324; C:GO:0016021; P:GO:0098655
ostta01g01390	F:GO:0005515
ostta01g01400	
ostta01g01410	F:GO:0005509
ostta01g01420	C:GO:0005737; F:GO:0008175; F:GO:0008649; P:GO:0030488; F:GO:0051536; P:GO:0070475
ostta01g01430	C:GO:0016020; C:GO:0016021; F:GO:0016740; F:GO:0016757
ostta01g01440	F:GO:0016740
ostta01g01450	F:GO:0004072; P:GO:0009088; P:GO:0009089; C:GO:0009570; P:GO:0016310
ostta01g01460	F:GO:0004819; F:GO:0005524; C:GO:0005737; P:GO:0006425
